player_name,first_name,last_name,college,position,combine_year,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,hand_size_inches_missed,arm_length_inches_missed,40_yard_dash_missed,bench_press_reps_missed,vertical_leap_inches_missed,broad_jump_inches_missed,3_cone_drill_missed,20_yard_shuttle_missed,round,pick,team,draft_status,draft_value
pharaoh_brown,pharaoh,brown,oregon,fb_te,2017,77.63,255,10.38,35.63,,24,34,,,4.62,0,0,1,0,0,1,1,0,13,337,udfa,0,5
daniel_brunskill,daniel,brunskill,san_diego_state,ol,2017,77.13,273,9.88,33.88,,17,28,106,7.9,4.84,0,0,1,0,0,0,0,0,13,337,udfa,0,5
collin_buchanan,collin,buchanan,miami_oh,ol,2017,76.63,316,10.5,32.38,,23,25,97,,4.75,0,0,1,0,0,0,1,0,13,337,udfa,0,5
riley_bullough,riley,bullough,michigan_state,lb,2017,73.63,226,9.88,31.25,,20,31.5,116,,4.38,0,0,1,0,0,0,1,0,13,337,udfa,0,5
harrison_butker,harrison,butker,georgia_tech,k_p,2017,75.63,199,8.75,31.75,,,,,,,0,0,1,1,1,1,1,1,7,233,car,1,3
jake_butt,jake,butt,michigan,fb_te,2017,77.13,246,10,32,,,,,,,0,0,1,1,1,1,1,1,5,145,den,1,3
kd_cannon,kd,cannon,baylor,wr,2017,71.13,182,8.88,30.75,4.41,13,37,119,,4.2,0,0,0,0,0,0,1,0,13,337,udfa,0,5
josh_carraway,josh,carraway,texas_christian,dl,2017,75,242,9.25,34.25,4.74,25,29.5,120,7.2,4.42,0,0,0,0,0,0,0,0,7,227,ten,1,3
christopher_carson,christopher,carson,oklahoma_state,rb,2017,72.25,218,9.63,33.25,4.58,23,37,130,,,0,0,0,0,0,0,1,1,13,337,udfa,0,5
cethan_carter,cethan,carter,nebraska,fb_te,2017,74.75,241,9,32.38,4.68,19,,,,4.47,0,0,0,0,1,1,1,0,13,337,udfa,0,5
jamal_carter,jamal,carter,miami_fl,db,2017,72.63,218,9.38,31,4.64,19,35,122,,4.28,0,0,0,0,0,0,1,0,13,337,udfa,0,5
taco_charlton,taco,charlton,michigan,dl,2017,77.63,277,9.75,34.25,4.92,25,33,116,7.17,,0,0,0,0,0,0,0,1,1,28,dal,1,1
jehu_chesson,jehu,chesson,michigan,wr,2017,74.75,204,9.13,33.25,4.47,10,35.5,132,6.7,4.09,0,0,0,0,0,0,0,0,4,139,kc,1,3
chuck_clark,chuck,clark,virginia_tech,db,2017,71.63,208,9,32.25,4.54,16,34,122,6.85,4.07,0,0,0,0,0,0,0,0,6,186,bal,1,3
jeremy_clark,jeremy,clark,michigan,lb,2017,75.13,220,9.38,32.88,,20,,,,4.5,0,0,1,0,1,1,1,0,6,197,nyj,1,3
corey_clement,corey,clement,wisconsin,rb,2017,70.25,220,9.75,30.5,4.68,19,28.5,115,,4.53,0,0,0,0,0,0,1,0,13,337,udfa,0,5
chunky_clements,chunky,clements,illinois,dl,2017,74.13,301,10.38,32.88,,23,,,,4.96,0,0,1,0,1,1,1,0,13,337,udfa,0,5
tarik_cohen,tarik,cohen,north_carolina_a&t,rb,2017,66.38,179,10.13,29.75,4.42,11,31.5,118,,,0,0,0,0,0,0,1,1,4,119,chi,1,3
stacy_coley,stacy,coley,miami_fl,wr,2017,72.13,195,9.75,32.25,4.45,10,34,122,,4.39,0,0,0,0,0,0,1,0,7,219,min,1,3
aviante_collins,aviante,collins,texas_christian,ol,2017,76.25,295,9.38,33.38,4.81,34,,,,4.73,0,0,0,0,1,1,1,0,13,337,udfa,0,5
gareon_conley,gareon,conley,ohio_state,lb,2017,72.25,195,9.5,33,4.44,11,37,129,6.68,4.18,0,0,0,0,0,0,0,0,1,24,oak,1,1
james_conner,james,conner,pittsburgh,rb,2017,73.25,233,9.88,31.25,4.65,20,29,113,,,0,0,0,0,0,0,1,1,3,105,pit,1,2
dalvin_cook,dalvin,cook,florida_state,rb,2017,71.13,210,9.25,32.38,4.49,22,30.5,116,7.27,4.53,0,0,0,0,0,0,0,0,2,41,min,1,2
ethan_cooper,ethan,cooper,indiana_pa,ol,2017,74,322,10.38,32.63,5.36,26,24.5,99,8.02,4.88,0,0,0,0,0,0,0,0,13,337,udfa,0,5
zach_cunningham,zach,cunningham,vanderbilt,lb,2017,75.25,234,9.25,34.38,4.67,15,35,125,7.03,,0,0,0,0,0,0,0,1,2,57,hou,1,2
jeremy_cutrer,jeremy,cutrer,middle_tennessee_state,lb,2017,74,170,,,,,,,,4.26,1,1,1,1,1,1,1,0,13,337,udfa,0,5
darrell_daniels,darrell,daniels,washington,fb_te,2017,75.13,247,10.25,34.5,4.55,17,32,116,7.09,4.47,0,0,0,0,0,0,0,0,13,337,udfa,0,5
amara_darboh,amara,darboh,michigan,wr,2017,73.75,214,9.88,32.63,4.45,17,36,124,,4.26,0,0,0,0,0,0,1,0,3,106,sea,1,2
julien_davenport,julien,davenport,bucknell_pa,ol,2017,78.75,318,10.5,36.5,5.45,18,27,106,7.57,4.69,0,0,0,0,0,0,0,0,13,337,udfa,0,5
corey_davis,corey,davis,western_michigan,wr,2017,74.75,209,9.13,33,,,,,,4.28,0,0,1,1,1,1,1,0,1,5,ten,1,1
jarrad_davis,jarrad,davis,florida,lb,2017,73.25,238,9.75,33.5,,,,,,4.39,0,0,1,1,1,1,1,0,1,21,det,1,1
justin_davis,justin,davis,southern_california,rb,2017,72.63,208,9.63,31,,21,,,,4.32,0,0,1,0,1,1,1,0,13,337,udfa,0,5
keionta_davis,keionta,davis,tennessee-chattanooga,dl,2017,75,271,9.5,34,,,,,,4.46,0,0,1,1,1,1,1,0,13,337,udfa,0,5
kevin_davis,kevin,davis,colorado_state,lb,2017,73.75,235,10.25,32.38,4.91,11,30.5,110,7.18,4.5,0,0,0,0,0,0,0,0,13,337,udfa,0,5
robert_davis,robert,davis,georgia_state,wr,2017,74.75,219,9.63,33,4.44,19,41,136,6.82,4.28,0,0,0,0,0,0,0,0,6,209,was,1,3
dion_dawkins,dion,dawkins,temple,ol,2017,75.88,314,9.88,35,5.11,26,26,106,7.3,4.78,0,0,0,0,0,0,0,0,2,63,buf,1,2
matt_dayes,matt,dayes,north_carolina_state,rb,2017,68.63,205,10.5,30,,18,28,109,,,0,0,1,0,0,0,1,1,13,337,udfa,0,5
treston_decoud,treston,decoud,oregon_state,lb,2017,73.75,206,9.25,33,4.62,11,31,116,,,0,0,0,0,0,0,1,1,13,337,udfa,0,5
jj_dielman,jj,dielman,utah,ol,2017,76.75,309,10,32.25,,27,,,,4.84,0,0,1,0,1,1,1,0,13,337,udfa,0,5
joshua_dobbs,joshua,dobbs,tennessee,qb,2017,75.25,216,9.25,32.63,4.64,,33,122,6.75,4.31,0,0,0,1,0,0,0,0,4,135,pit,1,3
dylan_donahue,dylan,donahue,west_georgia,dl,2017,74.63,248,9,30.25,4.75,26,29.5,116,7.02,,0,0,0,0,0,0,0,1,5,181,nyj,1,3
rasul_douglas,rasul,douglas,west_virginia,lb,2017,74,209,9.25,32.38,4.59,16,33.5,120,6.97,4.26,0,0,0,0,0,0,0,0,3,99,phi,1,2
jessamen_dunker,jessamen,dunker,tennessee_state,ol,2017,76.13,318,10,33.5,4.98,23,28.5,108,,4.13,0,0,0,0,0,0,1,0,13,337,udfa,0,5
malachi_dupre,malachi,dupre,louisiana_state,wr,2017,74.13,196,9,31.5,4.52,11,39.5,135,7.19,4.26,0,0,0,0,0,0,0,0,7,247,gb,1,3
