,combine_year,player_name,first_name,last_name,college,position,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,60_yard_shuttle,hand_size_inches_missed,arm_length_inches_missed,40_yard_dash_missed,bench_press_reps_missed,vertical_leap_inches_missed,broad_jump_inches_missed,3_cone_drill_missed,20_yard_shuttle_missed,60_yard_shuttle_missed
37,2017,daniel brunskill,daniel,brunskill,san_diego_state,ol,77.13,273,9.88,33.88,,17.0,28.0,106.0,7.9,4.84,,0,0,1,0,0,0,0,0,1
38,2017,collin buchanan,collin,buchanan,miami_oh,ol,76.63,316,10.5,32.38,,23.0,25.0,97.0,,4.75,,0,0,1,0,0,0,1,0,1
39,2017,riley bullough,riley,bullough,michigan_state,lb,73.63,226,9.88,31.25,,20.0,31.5,116.0,,4.38,11.91,0,0,1,0,0,0,1,0,0
40,2017,harrison butker,harrison,butker,georgia_tech,k_p,75.63,199,8.75,31.75,,,,,,,,0,0,1,1,1,1,1,1,1
41,2017,jake butt,jake,butt,michigan,fb_te,77.13,246,10.0,32.0,,,,,,,,0,0,1,1,1,1,1,1,1
42,2017,kd cannon,kd,cannon,baylor,wr,71.13,182,8.88,30.75,4.41,13.0,37.0,119.0,,4.2,,0,0,0,0,0,0,1,0,1
43,2017,josh carraway,josh,carraway,texas_christian,dl,75.0,242,9.25,34.25,4.74,25.0,29.5,120.0,7.2,4.42,12.48,0,0,0,0,0,0,0,0,0
44,2017,christopher carson,christopher,carson,oklahoma_state,rb,72.25,218,9.63,33.25,4.58,23.0,37.0,130.0,,,,0,0,0,0,0,0,1,1,1
45,2017,cethan carter,cethan,carter,nebraska,fb_te,74.75,241,9.0,32.38,4.68,19.0,,,,4.47,,0,0,0,0,1,1,1,0,1
46,2017,jamal carter,jamal,carter,miami_fl,db,72.63,218,9.38,31.0,4.64,19.0,35.0,122.0,,4.28,,0,0,0,0,0,0,1,0,1
47,2017,taco charlton,taco,charlton,michigan,dl,77.63,277,9.75,34.25,4.92,25.0,33.0,116.0,7.17,,,0,0,0,0,0,0,0,1,1
48,2017,jehu chesson,jehu,chesson,michigan,wr,74.75,204,9.13,33.25,4.47,10.0,35.5,132.0,6.7,4.09,,0,0,0,0,0,0,0,0,1
49,2017,chuck clark,chuck,clark,virginia_tech,db,71.63,208,9.0,32.25,4.54,16.0,34.0,122.0,6.85,4.07,11.62,0,0,0,0,0,0,0,0,0
50,2017,jeremy clark,jeremy,clark,michigan,lb,75.13,220,9.38,32.88,,20.0,,,,4.5,,0,0,1,0,1,1,1,0,1
51,2017,corey clement,corey,clement,wisconsin,rb,70.25,220,9.75,30.5,4.68,19.0,28.5,115.0,,4.53,,0,0,0,0,0,0,1,0,1
52,2017,chunky clements,chunky,clements,illinois,dl,74.13,301,10.38,32.88,,23.0,,,,4.96,,0,0,1,0,1,1,1,0,1
53,2017,tarik cohen,tarik,cohen,north_carolina_a&t,rb,66.38,179,10.13,29.75,4.42,11.0,31.5,118.0,,,,0,0,0,0,0,0,1,1,1
54,2017,stacy coley,stacy,coley,miami_fl,wr,72.13,195,9.75,32.25,4.45,10.0,34.0,122.0,,4.39,,0,0,0,0,0,0,1,0,1
55,2017,aviante collins,aviante,collins,texas_christian,ol,76.25,295,9.38,33.38,4.81,34.0,,,,4.73,,0,0,0,0,1,1,1,0,1
