full_name,first_name,last_name,combine_year,college,position,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,60_yard_shuttle
jehu_chesson,jehu,chesson,2017,michigan,wr,74.75,204,9.13,33.25,4.47,10,35.5,132,6.7,4.09,
chuck_clark,chuck,clark,2017,virginia_tech,db,71.63,208,9,32.25,4.54,16,34,122,6.85,4.07,11.62
jeremy_clark,jeremy,clark,2017,michigan,lb,75.13,220,9.38,32.88,,20,,,,4.5,
corey_clement,corey,clement,2017,wisconsin,rb,70.25,220,9.75,30.5,4.68,19,28.5,115,,4.53,
chunky_clements,chunky,clements,2017,illinois,dl,74.13,301,10.38,32.88,,23,,,,4.96,
tarik_cohen,tarik,cohen,2017,north_carolina_a&t,rb,66.38,179,10.13,29.75,4.42,11,31.5,118,,,
stacy_coley,stacy,coley,2017,miami_fl,wr,72.13,195,9.75,32.25,4.45,10,34,122,,4.39,
aviante_collins,aviante,collins,2017,texas_christian,ol,76.25,295,9.38,33.38,4.81,34,,,,4.73,
gareon_conley,gareon,conley,2017,ohio_state,lb,72.25,195,9.5,33,4.44,11,37,129,6.68,4.18,
james_conner,james,conner,2017,pittsburgh,rb,73.25,233,9.88,31.25,4.65,20,29,113,,,
dalvin_cook,dalvin,cook,2017,florida_state,rb,71.13,210,9.25,32.38,4.49,22,30.5,116,7.27,4.53,
ethan_cooper,ethan,cooper,2017,indiana_pa,ol,74,322,10.38,32.63,5.36,26,24.5,99,8.02,4.88,
zach_cunningham,zach,cunningham,2017,vanderbilt,lb,75.25,234,9.25,34.38,4.67,15,35,125,7.03,,
jeremy_cutrer,jeremy,cutrer,2017,middle_tennessee_state,lb,74,170,,,,,,,,4.26,
darrell_daniels,darrell,daniels,2017,washington,fb_te,75.13,247,10.25,34.5,4.55,17,32,116,7.09,4.47,
amara_darboh,amara,darboh,2017,michigan,wr,73.75,214,9.88,32.63,4.45,17,36,124,,4.26,11.88
julien_davenport,julien,davenport,2017,bucknell_pa,ol,78.75,318,10.5,36.5,5.45,18,27,106,7.57,4.69,
corey_davis,corey,davis,2017,western_michigan,wr,74.75,209,9.13,33,,,,,,4.28,11.48
jarrad_davis,jarrad,davis,2017,florida,lb,73.25,238,9.75,33.5,,,,,,4.39,
justin_davis,justin,davis,2017,southern_california,rb,72.63,208,9.63,31,,21,,,,4.32,11.29
keionta_davis,keionta,davis,2017,tennessee-chattanooga,dl,75,271,9.5,34,,,,,,4.46,
kevin_davis,kevin,davis,2017,colorado_state,lb,73.75,235,10.25,32.38,4.91,11,30.5,110,7.18,4.5,
robert_davis,robert,davis,2017,georgia_state,wr,74.75,219,9.63,33,4.44,19,41,136,6.82,4.28,11.77
dion_dawkins,dion,dawkins,2017,temple,ol,75.88,314,9.88,35,5.11,26,26,106,7.3,4.78,
matt_dayes,matt,dayes,2017,north_carolina_state,rb,68.63,205,10.5,30,,18,28,109,,,
treston_decoud,treston,decoud,2017,oregon_state,lb,73.75,206,9.25,33,4.62,11,31,116,,,
jj_dielman,jj,dielman,2017,utah,ol,76.75,309,10,32.25,,27,,,,4.84,
joshua_dobbs,joshua,dobbs,2017,tennessee,qb,75.25,216,9.25,32.63,4.64,,33,122,6.75,4.31,
dylan_donahue,dylan,donahue,2017,west_georgia,dl,74.63,248,9,30.25,4.75,26,29.5,116,7.02,,
