,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertical_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,hand_size_inches_missed,arm_length_inches_missed,40_yard_dash_missed,bench_press_reps_missed,vertical_leap_inches_missed,broad_jump_inches_missed,3_cone_drill_missed,20_yard_shuttle_missed,draft_status
47,72.63,319,10.25,32.5,5.04,25.0,28.5,108.0,7.73,4.66,0,0,0,0,0,0,0,0,1
48,77.63,316,10.5,35.5,5.33,22.0,20.5,98.1421055782298,8.03884889024344,4.53,0,0,0,0,0,1,1,0,0
49,76.63,304,10.88,34.63,5.11,24.76353749224924,24.5,101.0,7.93,4.716915937949526,0,0,0,1,0,0,0,1,1
50,76.0,308,10.25,32.88,5.297310929712044,25.49754515441765,27.627854716036786,104.13570394142059,8.06157123067657,4.62,0,0,1,1,1,1,1,0,0
51,78.88,289,10.63,35.63,4.83,23.0,30.0,128.0,7.46,4.69,0,0,0,0,0,0,0,0,1
52,75.75,309,10.63,32.25,5.0,34.0,27.5,111.0,7.55,4.62,0,0,0,0,0,0,0,0,1
53,73.63,251,9.13,32.88,4.798050448271717,23.0,33.0,118.0,7.0,4.2398631447807045,0,0,1,0,0,0,0,1,0
54,73.63,261,10.38,31.5,4.67,35.0,33.0,114.0,7.46,4.62,0,0,0,0,0,0,0,0,1
55,78.75,332,9.63,35.25,5.573465146491066,22.0,23.5,96.31030170794132,8.459374683003935,4.973440619437989,0,0,1,0,0,1,1,1,0
56,74.88,280,10.0,34.25,4.84,29.0,32.5,113.0,7.55,4.47,0,0,0,0,0,0,0,0,1
57,76.63,312,10.88,33.88,5.44,18.0,25.5,100.0,8.02,4.75,0,0,0,0,0,0,0,0,0
58,75.75,307,10.88,33.5,5.16,26.0,26.5,106.0,7.55,4.73,0,0,0,0,0,0,0,0,1
59,78.0,305,9.918825855159037,33.661636160486395,5.340683505751727,22.936099703713197,26.773027824262726,101.15835617186525,8.210891766447762,4.94,1,1,1,1,1,1,1,0,0
60,75.25,334,11.0,35.0,5.84,24.390533103252615,24.5,96.0,8.51,5.38,0,0,0,1,0,0,0,0,0
61,80.13,307,11.0,34.75,5.18,23.289585517537013,28.5,105.0,7.52,4.58,0,0,0,1,0,0,0,0,1
62,77.75,295,10.5,34.75,4.85,23.0,28.5,112.0,7.69,4.553072919377426,0,0,0,0,0,0,0,1,1
63,74.13,250,9.75,34.75,4.59,24.0,33.0,122.0,7.48,4.32,0,0,0,0,0,0,0,0,1
64,74.75,309,10.0,34.63,5.36,21.0,27.0,102.0,8.13,4.73,0,0,0,0,0,0,0,0,1
65,75.13,264,10.38,34.5,4.79,14.0,32.5,114.0,7.25,4.62,0,0,0,0,0,0,0,0,1
66,77.38,319,10.63,34.13,5.18,23.0,30.5,109.0,7.73,4.58,0,0,0,0,0,0,0,0,1
67,75.25,253,9.38,33.25,4.88,22.0,30.5,117.0,7.25,4.37,0,0,0,0,0,0,0,0,1
68,77.0,309,9.919498298459764,33.81496348056778,5.289646155968946,25.51052472432439,27.636790569479828,102.51164151223911,8.229918969495428,5.06,1,1,1,1,1,1,1,0,0
69,73.0,268,9.0,33.13,4.83,27.0,30.5,110.0,7.575521964055311,4.37,0,0,0,0,0,0,1,0,0
70,75.13,258,10.5,32.63,4.72,25.0,31.5,128.0,7.26,4.266283918082625,0,0,0,0,0,0,0,1,1
71,74.63,305,10.0,32.63,4.97,26.0,32.0,116.0,7.55,4.72,0,0,0,0,0,0,0,0,0
72,75.13,298,9.75,32.25,5.185866687182483,24.0,29.899269410298487,106.09068294143243,7.656793705346706,3.89,0,0,1,0,1,1,1,0,0
73,77.0,300,10.013579523168008,33.542058380930506,5.194777438407453,23.909753576353523,28.556653826157174,106.5371707285649,8.081071851783243,4.84,1,1,1,1,1,1,1,0,0
74,75.25,242,9.75,33.0,4.64,23.0,30.0,123.0,7.06,4.41,0,0,0,0,0,0,0,0,0
